date,pred_prob_up,pred_label
2021-10-28,0.5,1
2021-10-29,0.0015906417421044379,0
2021-11-01,0.004416778794826935,0
2021-11-02,0.35443721777138143,0
2021-11-03,0.9996863407419435,1
2021-11-04,0.9998845598005113,1
2021-11-05,0.9696824730497198,1
2021-11-08,0.08980085809463247,0
2021-11-09,0.999142604380556,1
2021-11-10,0.0012561017369680167,0
2021-11-11,0.31397576845142494,0
2021-11-12,0.987599203492493,1
2021-11-15,0.8277132992318084,1
2021-11-16,0.40875259672119696,0
2021-11-17,0.6501709206094323,1
2021-11-18,0.9999805415076556,1
2021-11-19,0.23481906902094382,0
2021-11-22,0.001568427721278676,0
2021-11-23,0.6300619721328391,1
2021-11-24,0.5065214914089134,1
2021-11-26,0.004740004016402859,0
2021-11-29,0.9890143359846699,1
2021-11-30,0.018950990947469652,0
2021-12-01,0.006821653600152308,0
2021-12-02,0.3646157802553415,0
2021-12-03,0.0147655967857235,0
2021-12-06,0.9739867605723266,1
2021-12-07,0.9998199661548698,1
2021-12-08,0.4975082079301426,0
2021-12-09,0.045329674173674436,0
2021-12-10,0.03918594710579111,0
2021-12-13,0.009811918309680149,0
2021-12-14,0.285979164242259,0
2021-12-15,0.9997439825849707,1
2021-12-16,0.0005714437433857306,0
2021-12-17,0.9058949063032395,1
2021-12-20,0.0038626821114825377,0
2021-12-21,0.9991717455249097,1
2021-12-22,0.7602592677806996,1
2021-12-23,0.5143217543843932,1
2021-12-27,0.07292989352753665,0
2021-12-28,0.8697195530785341,1
2021-12-29,0.06337200588704413,0
2021-12-30,0.25255455188400405,0
2021-12-31,0.0210107146378317,0
2022-01-03,0.9996512311301565,1
2022-01-04,0.004641020590991904,0
2022-01-05,0.00135410718691851,0
2022-01-06,0.06590455425132423,0
2022-01-07,0.14469039043012175,0
2022-01-10,0.056737054289607014,0
2022-01-11,0.9999797841545863,1
2022-01-12,0.4120706296200156,0
2022-01-13,9.888193164213798e-05,0
2022-01-14,0.9319121149081223,1
2022-01-18,0.0001723367296637483,0
2022-01-19,0.00019876127490466844,0
2022-01-20,1.2804926084964382e-08,0
2022-01-21,6.913290144971615e-25,0
2022-01-24,1.0,1
2022-01-25,5.91845768574654e-101,0
2022-01-26,1.6906739070150985e-07,0
2022-01-27,0.9997159550964851,1
2022-01-28,1.0,1
2022-01-31,1.0,1
2022-02-01,0.9999985756652171,1
